39238,14,Salt Creek (Lenburg),44335,base,56.657,1604.3476,17.64,7.03,75.6,8.17,864,0.097,,1.9,0.15,0.576923077,0.26,57,1400,,,13.4457164,263.369702,79.9705573,36.0400645,7901.09106,,
39238,15,Salt Creek (ST 130) Fixed Station (Field data from 6/12),,base,24.943,706.3071,20.26,8.64,,8.05,1068,0.1,,5.3,,,0.2,24,,,,,323.432147,0,12.2049867,1464.5984,,
39238,16,Salt Creek (US 20) Fixed Station (Field data from 6/12),,base,,,21.85,8.18,,8.04,973,0.1,,3.3,,,0.14,30,,,,,0,0,0,0,,
39252,1,Lake Louise Outlet,1828,storm,1.915,54.2267,15.07,7.41,75.5,7.5,845,0.17,,4,0.058,0.276190476,0.21,8.6,480,,,0.79648177,18.7407475,1.294004,0.983889245,40.2926072,,
39252,2,Clark Ditch,2716,storm,1.448,41.0027,20.74,6.68,76.4,7.99,755,0.13,,0.24,0.068,0.357894737,0.19,26,1100,,,0.460542326,0.850231987,1.26788981,0.673100323,92.1084653,,
39252,3,Unnamed Tributary (Weblos),980,storm ,0.425,12.0346,19.93,5.06,57.1,7.58,1042,0.14,,0.007,0.087,0.457894737,0.19,9.6,350,,,0.145570522,,0.476114112,0.197559994,9.98197862,,
39252,4,Block Ditch,469,storm,1.3125,37.1658,16.27,4.17,43.6,7.38,899,0.27,,0.007,0.015,,0.1,2.4,1000,,,0.867003782,,,0.321112512,7.70670029,,
39252,5,Salt Creek Headwaters,4916,storm,5.834,165.2004,20.71,5.11,58.4,7.68,645,0.22,,0.26,0.053,0.165625,0.32,46,4900,,,3.1401292,3.71106179,2.36401772,4.56746066,656.57247,,
39252,6,Sager's Lake Outlet,3556,storm,5.308,150.3058,22,7.19,84.3,7.81,794,0.35,,0.25,0.015,,0.17,35,3100,,,4.54524739,3.24660528,,2.20769159,454.524739,,
39252,7,Beauty Creek,2092,storm,1.203,34.0651,14.41,8.49,85.2,7.67,910,0.16,,0.13,0.015,,0.11,3.8,240,,,0.470915942,0.382619203,,0.32375471,11.1842536,,
39252,8,Pepper Creek,1937,storm,2.018,57.1433,16.86,8.29,87.7,8.05,785,0.042,,0.007,0.015,,0.12,11,800,,,,,,0.592461734,54.3089923,,
39252,9,Unnamed Tributary (Mallards Landing),1899,storm ,0.57,16.1406,19.82,7.12,80,8.1,764,0.1,,0.35,0.066,0.44,0.15,16,3100,,,0.139454784,0.488091744,0.61360105,0.209182176,22.3127654,,
39252,10,Butternut Springs Outlet,1176,storm,0.823,23.3047,21.66,7.67,89.3,8.26,614,0.042,,0.007,0.015,,0.1,13,410,,,,,,0.201352608,26.175839,,
39252,11,Squirrel Creek,1576,storm,2.118,59.975,26.66,9.03,115.6,8.13,905,0.042,,0.007,0.16,0.484848485,0.33,11,2300,,,,,2.51240727,1.7100072,57.00024,,
39252,12,Robbin's Ditch,1403,storm,4.287,121.3943,22.51,5.77,68.3,7.64,735,0.11,,1.7,0.12,0.52173913,0.23,16,12000,,,1.15373143,17.8303948,5.47224392,2.41234753,167.81548,,
39252,12,Robbin's Ditch (Duplicate),1403,storm,4.287,121.3943,22.51,5.77,68.3,7.64,735,0.042,,1.6,0.12,0.5,0.24,18,12000,,,,16.781548,5.24423376,2.5172322,188.792415,,
39252,13,Damon Run,7014,storm,6.64,188.0238,21.82,7.11,83.1,7.81,715,0.31,,0.55,0.072,0.4,0.18,26,4100,,,5.03602946,8.93489098,6.49810253,2.92414614,422.376664,,
39252,14,Salt Creek (Lenburg),44335,storm ,44.865,1270.4353,23.58,6.74,81.5,7.96,843,0.24,,2.7,0.11,0.366666667,0.3,49,4500,,,26.3437464,296.367147,40.2473903,32.929683,5378.51489,,
39252,15,Salt Creek (ST 130) Fixed Station,,storm,30.698,869.2705,,,,,,,,,,,,,,,,0,0,0,0,0,,
39252,16,Salt Creek (US 20) Fixed Station,,storm,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
39268,1,Lake Louise Outlet,1828,base,1.811,51.2818,15.05,7.1,72.3,7.52,840,0.16,,2,0.015,,0.2,15,300,,,0.708919603,8.86149504,,0.886149504,66.4612128,,
39268,2,Clark Ditch,2716,base,1.079,30.5538,20.62,7.11,81.2,8.04,783,0.042,,0.44,0.054,0.658536585,0.082,20,1800,,,,1.16153326,1.7384367,0.216467562,52.7969664,,
39268,3,Unnamed Tributary (Weblos),976,base,0.313,8.8631,18.88,5.66,62.5,7.6,1067,0.042,,0.007,0.055,0.55,0.1,12,410,,,,,0.421174512,0.076577184,9.18926208,,
39268,4,Block Ditch,469,base,0.2712,7.6795,15.99,5.27,54.8,7.38,910,0.042,,0.1,0.015,,0.034,100,170,,,,0.06635088,,0.022559299,66.35088,,
