68,Salt Creek (Lenburg),base,39224,14,44335.0,1.4312,40.52704000000001,16.49,7.73,80.9,8.09,885.0,2.1,240.0,0.0
69,Lake Louise Outlet,base,39238,1,1828.0,2.1519999999999997,60.9378,13.26,6.81,66.7,7.63,854.0,2.6,220.0,13.6890674
70,Clark Ditch,base,39238,2,2716.0,2.62,74.1901,15.83,7.13,73.8,7.99,757.0,0.27,2300.0,1.73070665
71,Unnamed Tributary (Weblos),base,39238,3,980.0,0.508,14.3849,15.19,5.07,51.9,7.58,955.0,0.009000000000000001,4700.0,0.011185698
72,Block Ditch,base,39238,4,469.0,0.46399999999999997,13.139,12.66,4.64,44.8,7.47,911.0,0.086,560.0,0.09762802599999999
73,Salt Creek Headwaters,base,39238,5,4916.0,5.85,165.6535,13.93,6.82,67.8,7.83,677.0,0.32,2800.0,4.57998797
74,Sager's Lake Outlet,base,39238,6,3556.0,4.66,131.9565,17.03,7.34,77.9,7.89,896.0,0.11,890.0,1.25411458
75,Beauty Creek,base,39238,7,2092.0,1.587,44.9388,13.24,7.67,75.1,7.55,836.0,0.23,1000.0,0.8930238340000001
76,Pepper Creek,base,39238,8,1937.0,2.781,78.7491,14.38,8.05,80.8,8.19,821.0,0.13,630.0,0.884509891
77,Unnamed Tributary (Mallards Landing),base,39238,9,1899.0,0.8440000000000001,23.8994,15.27,7.27,74.4,8.16,776.0,0.29,1800.0,0.598823366
78,Butternut Springs Outlet,base,39238,10,1176.0,10.037,284.2161,16.24,7.9,82.5,8.33,640.0,0.08900000000000001,360.0,2.18550812
79,Squirrel Creek,base,39238,11,1576.0,1.004,23.4301,22.48,9.63,114.1,8.49,894.0,0.17,120.0,0.344141309
80,Robbin's Ditch,base,39238,12,1403.0,0.445,12.6009,15.69,7.67,79.3,8.19,1082.0,0.9,1300.0,0.9798459840000001
81,Robbin's Ditch (Duplicate),base,39238,12,1403.0,0.445,12.6009,15.69,7.67,79.3,8.19,1082.0,0.92,3200.0,1.00162034
82,Damon Run,base,39238,13,7014.0,5.627999999999999,159.3672,16.58,7.68,80.8,8.0,778.0,0.43,500.0,5.92081021
83,Salt Creek (Lenburg),base,39238,14,44335.0,56.657,1604.3476,17.64,7.03,75.6,8.17,864.0,1.9,1400.0,263.369702
84,Salt Creek (ST 130) Fixed Station (Field data from 6/12),base,39238,15,10831.0,24.943,706.3071,20.26,8.64,63.0,8.05,1068.0,5.3,1280.0,323.43214700000004
85,Salt Creek (US 20) Fixed Station (Field data from 6/12),base,39238,16,10831.0,12.635,357.78331999999995,21.85,8.18,63.0,8.04,973.0,3.3,1280.0,0.0
86,Lake Louise Outlet,storm,39252,1,1828.0,1.915,54.2267,15.07,7.41,75.5,7.5,845.0,4.0,480.0,18.7407475
87,Clark Ditch,storm,39252,2,2716.0,1.4480000000000002,41.0027,20.74,6.68,76.4,7.99,755.0,0.24,1100.0,0.850231987
88,Unnamed Tributary (Weblos),storm ,39252,3,980.0,0.425,12.0346,19.93,5.06,57.1,7.58,1042.0,0.006999999999999999,350.0,5.3097293114
89,Block Ditch,storm,39252,4,469.0,1.3125,37.1658,16.27,4.17,43.6,7.38,899.0,0.006999999999999999,1000.0,5.3097293114
90,Salt Creek Headwaters,storm,39252,5,4916.0,5.834,165.2004,20.71,5.11,58.4,7.68,645.0,0.26,4900.0,3.71106179
91,Sager's Lake Outlet,storm,39252,6,3556.0,5.308,150.3058,22.0,7.19,84.3,7.81,794.0,0.25,3100.0,3.24660528
92,Beauty Creek,storm,39252,7,2092.0,1.203,34.0651,14.41,8.49,85.2,7.67,910.0,0.13,240.0,0.38261920299999996
93,Pepper Creek,storm,39252,8,1937.0,2.0180000000000002,57.1433,16.86,8.29,87.7,8.05,785.0,0.006999999999999999,800.0,1.5656756034000001
94,Unnamed Tributary (Mallards Landing),storm ,39252,9,1899.0,0.57,16.1406,19.82,7.12,80.0,8.1,764.0,0.35,3100.0,0.488091744
95,Butternut Springs Outlet,storm,39252,10,1176.0,0.823,23.3047,21.66,7.67,89.3,8.26,614.0,0.006999999999999999,410.0,7.0965307493999985
96,Squirrel Creek,storm,39252,11,1576.0,2.1180000000000003,59.975,26.66,9.03,115.6,8.13,905.0,0.006999999999999999,2300.0,8.8069851048
97,Robbin's Ditch,storm,39252,12,1403.0,4.287,121.3943,22.51,5.77,68.3,7.64,735.0,1.7,12000.0,17.8303948
98,Robbin's Ditch (Duplicate),storm,39252,12,1403.0,4.287,121.3943,22.51,5.77,68.3,7.64,735.0,1.6,12000.0,16.781548
99,Damon Run,storm,39252,13,7014.0,6.64,188.0238,21.82,7.11,83.1,7.81,715.0,0.55,4100.0,8.93489098
100,Salt Creek (Lenburg),storm ,39252,14,44335.0,44.865,1270.4353,23.58,6.74,81.5,7.96,843.0,2.7,4500.0,296.36714700000005
101,Lake Louise Outlet,base,39268,1,1828.0,1.811,51.2818,15.05,7.1,72.3,7.52,840.0,2.0,300.0,8.86149504
102,Clark Ditch,base,39268,2,2716.0,1.079,30.5538,20.62,7.11,81.2,8.04,783.0,0.44,1800.0,1.16153326
103,Unnamed Tributary (Weblos),base,39268,3,976.0,0.313,8.8631,18.88,5.66,62.5,7.6,1067.0,0.006999999999999999,410.0,2.415160178
104,Block Ditch,base,39268,4,469.0,0.2712,7.6795,15.99,5.27,54.8,7.38,910.0,0.1,170.0,0.06635088
105,Salt Creek Headwaters,base,39268,5,4916.0,3.383,95.7958,19.08,5.87,64.9,7.68,652.0,0.24,540.0,1.98642171
106,Sager's Lake Outlet,base,39268,6,3556.0,2.562,72.5477,21.05,6.96,80.2,7.8,909.0,0.006999999999999999,510.0,0.5527346862
107,Beauty Creek,base,39268,7,2092.0,1.285,36.3871,14.49,8.67,87.3,7.66,913.0,0.13,160.0,0.40869990700000003
108,Pepper Creek,base,39268,8,1937.0,1.9,53.802,16.78,8.39,88.6,8.06,797.0,0.006999999999999999,410.0,0.5758400852
109,Pepper Creek (Duplicate),base,39268,8,1937.0,1.9,53.802,16.78,8.39,88.6,8.06,797.0,0.006999999999999999,260.0,0.5758400852
110,Unnamed Tributary (Mallards Landing),base,39268,9,1899.0,0.386,10.9303,20.02,7.27,82.0,8.14,803.0,0.32,470.0,0.302200934
111,Butternut Springs Outlet,base,39268,10,1176.0,0.531,15.0362,21.83,7.71,90.1,8.25,609.0,0.14,280.0,0.181877875
112,Squirrel Creek,base,39268,11,1576.0,0.12,3.398,24.12,8.48,104.7,7.98,756.0,0.77,140.0,0.226062144
113,Robbin's Ditch,base,39268,12,1403.0,0.13699999999999998,3.8794,21.64,4.8,56.5,7.57,1103.0,0.4,430.0,0.134072064
114,Damon Run,base,39268,13,7014.0,2.966,83.9877,21.11,7.47,86.1,7.97,810.0,0.54,580.0,3.91853013
115,Salt Creek (Lenburg),base,39268,14,44335.0,33.650999999999996,952.8902,22.74,7.26,86.4,8.01,1028.0,6.2,350.0,510.44422199999997
